county,count
Allegany,2267
Cattaraugus,1316
Steuben,427
Erie,240
Chautauqua,134
Oswego,115
Ontario,44
Tompkins,37
Oneida,33
Wyoming,28
Genesee,26
Livingston,21
Schuyler,20
Onondaga,19
Madison,17
Statewide,17
Cayuga,12
Chemung,11
Yates,9
Broome,8
Seneca,8
Tioga,7
Lewis,6
Jefferson,6
Chenango,5
Niagara,3
Herkimer,3
Monroe,3
Cortland,3
Montgomery,2
Albany,2
Washington,2
Delaware,1
Schoharie,1
Warren,1
Wayne,1
Sullivan,1
Orleans,1
Schenectady,1
